From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
ABCA4	expression	CFP		
CHRNA9	protein-protein interactions	ATP11C		
CNOT2	protein-protein interactions	CNOT1		
CNOT8	protein-protein interactions	CNOT1		
CNOT8	protein-protein interactions	CNOT2		
MAP7	protein-protein interactions	CHRNA9		
MUSK	activation	MUSK		
MUSK	expression	MUSK		
MUSK	protein-protein interactions	MUSK		
Mg2+-ATPase	membership	ABCA4		
Mg2+-ATPase	membership	ATP11B		
Mg2+-ATPase	membership	ATP11C		
Mg2+-ATPase	membership	ATP8A1		
Mg2+-ATPase	membership	ATP8B4		
NRG1	expression	NRG1		
NRG1	protein-protein interactions	INTS7		
NRG1	protein-protein interactions	NRG1		
NRG1	regulation of binding	NRG1		
NRG1	transcription	MUSK		
RC3H2	protein-protein interactions	CNOT1		
RNF219	protein-protein interactions	CNOT1		
RNF219	protein-protein interactions	CNOT2		
RNF219	protein-protein interactions	MAP7		
RQCD1	protein-protein interactions	CNOT1		
RQCD1	protein-protein interactions	CNOT2		
SNX14	protein-protein interactions	CHRNA9		
TMEFF1	protein-protein interactions	ATP2C1		
TMEFF1	protein-protein interactions	BCS1L		
TMEFF1	protein-protein interactions	INTS7		
TMEFF1	protein-protein interactions	PRDM10		
TMEFF1	protein-protein interactions	SLC39A11		
TMEFF1	protein-protein interactions	THNSL1		
TMEM120B	protein-protein interactions	CHRNA9		
TMEM164	protein-protein interactions	NRG1		
TMEM181	protein-protein interactions	NRG1		
TMEM39B	protein-protein interactions	CHRNA9		
TMEM39B	protein-protein interactions	NRG1		
TMEM57	protein-protein interactions	CHRNA9		
TMEM63B	protein-protein interactions	NRG1		
TMEM63B	protein-protein interactions	TMEM63B		
TNKS1BP1	protein-protein interactions	RNF219		
TNRC6A	protein-protein interactions	CNOT1		
TNRC6A	protein-protein interactions	CNOT2		
TNRC6A	protein-protein interactions	CNOT8		
TNRC6B	protein-protein interactions	CNOT1		
TNRC6B	protein-protein interactions	CNOT2		
TNRC6B	protein-protein interactions	CNOT8		
UTP11L	protein-protein interactions	THNSL1		
