© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
EPS8	protein-protein interactions	EPS8		
NAV2	protein-protein interactions	ADAT2		
NAV2	protein-protein interactions	CFAP58		
PDS5B	protein-protein interactions	PDS5B		
POT1	localization	POT1		
POT1	protein-protein interactions	CFAP58		
POT1	protein-protein interactions	MYO5C		
POT1	protein-protein interactions	PGM2		
POT1	protein-protein interactions	PHYHD1		
POT1	protein-protein interactions	PIPOX		
POT1	protein-protein interactions	POT1		
POT1	protein-protein interactions	TINF2		
POT1	regulation of binding	POT1		
POT1	regulation of binding	TINF2		
POT1-TERF1-TERF2-TERF2IP-TIN2-TPP1	membership	POT1		
POT1-TERF1-TERF2-TERF2IP-TIN2-TPP1	membership	TINF2		
PROSER2	protein-protein interactions	EPS8		
PROSER2	protein-protein interactions	POT1		
RBKS	protein-protein interactions	POT1		
RBM15	protein-protein interactions	NAV2		
RBM15	protein-protein interactions	RBM15		
SCRN3	protein-protein interactions	EPS8		
SNX22	protein-protein interactions	POT1		
SPECC1	protein-protein interactions	PDS5B		
STAG1	protein-protein interactions	PDS5B		
STAG1	protein-protein interactions	RAD21L1		
STAG1	transcription	PCDH11X		
STAG2	protein-protein interactions	PDS5B		
STAG2	protein-protein interactions	RAD21L1		
STAG2	protein-protein interactions	SPECC1		
STAG2	protein-protein interactions	STAG1		
STAG2	protein-protein interactions	STAG2		
SULT1B1	protein-protein interactions	POT1		
SYAP1	protein-protein interactions	POT1		
TINF2	protein-protein interactions	ANXA8/ANXA8L1		
TINF2	protein-protein interactions	PGM2		
TINF2	protein-protein interactions	PHPT1		
TINF2	protein-protein interactions	POT1		
TINF2	protein-protein interactions	STAG1		
TINF2	protein-protein interactions	TINF2		
TMSB4Y	protein-protein interactions	POT1		
TPRN	protein-protein interactions	CLIC5		
TPRN	protein-protein interactions	EPS8		
TRIM16	protein-protein interactions	POT1		
TRIM16	protein-protein interactions	TINF2		
TRIM16L	protein-protein interactions	TRIM16		
VIPR1	protein-protein interactions	TINF2		
WAPL	protein-protein interactions	PDS5B		
WAPL	protein-protein interactions	SPECC1		
WAPL	protein-protein interactions	STAG1		
WAPL	protein-protein interactions	STAG2		
WAPL	protein-protein interactions	WAPL		
XAGE2	protein-protein interactions	EPS8		
XAGE2	protein-protein interactions	POT1		
ZFP36L1	protein-protein interactions	POT1		
ZFP36L1	protein-protein interactions	TINF2		
