© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
CLK4	protein-protein interactions	AHCYL2		
CLK4	protein-protein interactions	CLASRP		
DSG1	protein-protein interactions	DSC1		
DSG1	protein-protein interactions	DSC2		
FZD2	protein-protein interactions	FZD2		
GRN	expression	FZD2		
GRN	expression	GRN		
GRN	molecular cleavage	GRN		
GRN	protein-protein interactions	AHCYL2		
GRN	protein-protein interactions	GRN		
KLK5	molecular cleavage	DSC1		
KLK5	molecular cleavage	DSG1		
MCM10	protein-protein interactions	MCM5		
MCM10	protein-protein interactions	MCM6		
MCM10	protein-protein interactions	MCM8		
MCM5	protein-protein interactions	MCM6		
MCM5	protein-protein interactions	MCM8		
MCM6	protein-protein interactions	MCM10		
MCM6	protein-protein interactions	MCM5		
MCM6	protein-protein interactions	MCM6		
MCM6	protein-protein interactions	MCM8		
MCM8	protein-protein interactions	KLK5		
MCM8	protein-protein interactions	MCM5		
MCM8	protein-protein interactions	MCM6		
MCM9	protein-protein interactions	MCM5		
MCM9	protein-protein interactions	MCM6		
MCM9	protein-protein interactions	MCM8		
MCMBP	protein-protein interactions	MCM10		
MCMBP	protein-protein interactions	MCM5		
MCMBP	protein-protein interactions	MCM6		
MCMBP	protein-protein interactions	MCM8		
MCMBP	protein-protein interactions	MCM9		
MCMBP	regulation of binding	Mcm		
Mcm	membership	MCM5		
Mcm	membership	MCM6		
PKP1	protein-protein interactions	DSC1		
PKP1	protein-protein interactions	DSG1		
PKP2	protein-protein interactions	DSC1		
PKP2	protein-protein interactions	DSC2		
PKP2	protein-protein interactions	DSG1		
PKP2	protein-protein interactions	GRN		
PRPF4	protein-protein interactions	PRPF4		
RBM23	protein-protein interactions	AHCYL2		
RBM23	protein-protein interactions	ANKHD1/ANKHD1-EIF4EBP3		
RBM42	protein-protein interactions	PRPF4		
SART3	protein-protein interactions	FRG1		
SART3	protein-protein interactions	PRPF4		
SART3	protein-protein interactions	RRP15		
UCHL1	activation	UCHL1		
UCHL1	inhibition	UCHL1		
USP1	expression	USP1		
USP1	protein-protein interactions	DSC1		
USP1	protein-protein interactions	DSG1		
USP1	protein-protein interactions	PKP1		
USP1	protein-protein interactions	USP1		
USP15	protein-protein interactions	JOSD1		
USP15	protein-protein interactions	PRPF4		
USP15	protein-protein interactions	SART3		
USP15	protein-protein interactions	UCHL1		
USP15	protein-protein interactions	USP15		
USP21	protein-protein interactions	JOSD1		
USP21	protein-protein interactions	UCHL1		
USP21	protein-protein interactions	USP15		
USP21	protein-protein interactions	USP21		
USP4	protein-protein interactions	PRPF4		
USP4	protein-protein interactions	SART3		
USP4	protein-protein interactions	USP1		
USP4	protein-protein interactions	USP15		
USP4	protein-protein interactions	USP21		
USP4	protein-protein interactions	USP4		
USP4	ubiquitination	USP4		
USP46	protein-protein interactions	USP1		
USP49	protein-protein interactions	MCM6		
USP53	protein-protein interactions	DSG1		
mir-103	RNA-RNA interactions: microRNA targeting	GRN		
mir-103	expression	GRN		
mir-103	localization	GRN		
