From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
1-acylglycerophosphocholine O-acyltransferase	membership	LPCAT1		
1-acylglycerophosphocholine O-acyltransferase	membership	LPCAT2		
1-acylglycerophosphocholine O-acyltransferase	membership	LPCAT3		
BMP	activation	Alp		
BMP	activation	Tgf beta		
BMP	expression	MSX1		
BMP	expression	NKX2-5		
BMP	expression	NODAL		
Fgf	expression	Alp		
Fgf	expression	LPCAT1		
Fgf	expression	NKX2-5		
Fgf	regulation of binding	Fgf		
KLF10	activation	Alp		
KLF10	molecular cleavage	KLF10		
KLF10	ubiquitination	KLF10		
KLK1	activation	KLK1		
KLK1	expression	KLK1		
KLK14	activation	KLK1		
KNG1	localization	KNG1		
KNG1	localization	Tgf beta		
KNG1	protein-protein interactions	KRT1		
KNG1	regulation of binding	KNG1		
KNG1	regulation of binding	KRT1		
KRT1	localization	INTERLEUKIN		
KRT1	protein-protein interactions	KNG1		
KRT1	regulation of binding	KNG1		
KRT14	expression	KLK14		
KRT14	expression	KRT1		
KRT14	expression	KRT16		
KRT14	expression	KRT17		
KRT14	expression	KRT18		
KRT14	expression	KRT8		
KRT18	activation	KRT18		
KRT18	modification	KRT18		
KRT18	phosphorylation	KRT18		
KRT18	phosphorylation	KRT8		
KRT18	protein-protein interactions	KRT18		
KRT18	protein-protein interactions	KRT8		
KRT18	regulation of binding	KRT18		
KRT18	regulation of binding	KRT8		
KRT19	protein-protein interactions	KRT18		
KRT19	protein-protein interactions	KRT19		
KRT19	protein-protein interactions	KRT8		
KRT72	protein-protein interactions	KRT17		
KRT72	protein-protein interactions	KRT18		
KRT8	activation	KRT18		
KRT8	activation	KRT8		
KRT8	expression	KRT18		
KRT8	expression	KRT19		
KRT8	phosphorylation	KRT18		
KRT8	phosphorylation	KRT8		
KRT8	protein-protein interactions	KRT17		
KRT8	protein-protein interactions	KRT18		
KRT8	protein-protein interactions	KRT19		
LEFTY1	expression	NODAL		
LOR	protein-protein interactions	KRT1		
LOR	protein-protein interactions	LOR		
LRRK1	expression	Alp		
LRRK1	protein-protein interactions	LRRK1		
METRNL	expression	Tgf beta		
MN1	activation	Alp		
MN1	expression	Alp		
MSX1	expression	Alp		
MSX1	protein-protein interactions	MSX1		
MSX1	transcription	MSX1		
Mmp	activation	Mmp		
Mmp	activation	Tgf beta		
Mmp	inhibition	KNG1		
Mmp	localization	Mmp		
Mmp	molecular cleavage	Fgf		
NFATC2IP	localization	INTERLEUKIN		
NKX2-5	expression	NKX2-5		
NKX2-5	protein-protein interactions	NKX2-5		
NKX2-5	regulation of binding	NKX2-5		
NKX2-5	translocation	NKX2-5		
NKX2-6	expression	NKX2-5		
NODAL	activation	LEFTY1		
NODAL	expression	Tgf beta		
NOG	activation	Alp		
NOG	activation	BMP		
NOG	expression	Alp		
NOG	expression	LOR		
NOG	expression	NOG		
NOG	inhibition	BMP		
NOG	protein-protein interactions	BMP		
NOG	protein-protein interactions	NOG		
NPNT	activation	Alp		
Smad2/3-Smad4	activation	NODAL		
Smad2/3-Smad4	translocation	Smad2/3-Smad4		
Tgf beta	activation	Alp		
Tgf beta	activation	Tgf beta		
Tgf beta	expression	KLF10		
Tgf beta	expression	KRT1		
Tgf beta	expression	KRT16		
Tgf beta	expression	KRT72		
Tgf beta	expression	MN1		
Tgf beta	expression	Mmp		
Tgf beta	localization	Mmp		
Tgf beta	protein-protein interactions	Fgf		
Tgf beta	protein-protein interactions	Tgf beta		
