© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
G protein alpha	regulation of binding	G protein alpha		
PCGEM1	expression	PGAM2		
PCGEM1	expression	PGLS		
PCGEM1	expression	SUCLG1		
PCGEM1	expression	TALDO1		
SAG	inhibition	Opsin		
SAG	protein-protein interactions	Opsin		
SAG	protein-protein interactions	SAG		
SAG	regulation of binding	G protein alpha		
SALL1	localization	SALL4		
SALL1	protein-protein interactions	SALL4		
SALL3	activation	Opsin		
SALL3	modification	SALL3		
SALL3	regulation of binding	SALL3		
SALL4	protein-protein interactions	SALL1		
SALL4	protein-protein interactions	SALL3		
SALL4	transcription	SALL4		
SUCLG1	protein-protein interactions	SUCLG2		
SUCLG2	molecular cleavage	SUCLG2		
TALDO1	protein-protein interactions	TALDO1		
TFAP4	expression	TSPAN31		
TFCP2	protein-protein interactions	POLR3GL		
TFCP2	protein-protein interactions	SALL4		
TFCP2	protein-protein interactions	TCEAL2		
TFCP2	protein-protein interactions	TFAP4		
TFCP2	protein-protein interactions	TFCP2L1		
TFCP2	protein-protein interactions	UBP1		
TFCP2	regulation of binding	TFCP2		
TFCP2	regulation of binding	UBP1		
TFCP2L1	activation	TFCP2		
TFCP2L1	activation	UBP1		
TFCP2L1	protein-protein interactions	SALL1		
TFCP2L1	protein-protein interactions	SALL4		
TFCP2L1	protein-protein interactions	TFAP4		
TFCP2L1	protein-protein interactions	TFCP2		
TFCP2L1	protein-protein interactions	TFCP2L1		
TFCP2L1	protein-protein interactions	UBP1		
TRAPPC10	protein-protein interactions	TRAPPC10		
TRAPPC11	protein-protein interactions	TRAPPC11		
TRAPPC12	protein-protein interactions	TFCP2		
TRAPPC12	protein-protein interactions	TRAPPC10		
TRAPPC12	protein-protein interactions	TRAPPC11		
TRAPPC12	protein-protein interactions	TRAPPC12		
TRAPPC2	protein-protein interactions	TRAPPC10		
TRAPPC2	protein-protein interactions	TRAPPC11		
TRAPPC2	protein-protein interactions	TRAPPC12		
TRAPPC2	protein-protein interactions	TRAPPC2		
TRAPPC3L	protein-protein interactions	TRAPPC10		
TRAPPC3L	protein-protein interactions	TRAPPC11		
TRAPPC3L	protein-protein interactions	TRAPPC12		
TRAPPC3L	protein-protein interactions	TRAPPC2		
TRAPPC5	protein-protein interactions	TRAPPC10		
TRAPPC5	protein-protein interactions	TRAPPC11		
TRAPPC5	protein-protein interactions	TRAPPC12		
TRAPPC5	protein-protein interactions	TRAPPC2		
TRAPPC5	protein-protein interactions	TRAPPC3L		
TRAPPC8	protein-protein interactions	TRAPPC10		
TRAPPC8	protein-protein interactions	TRAPPC11		
TRAPPC8	protein-protein interactions	TRAPPC12		
TRAPPC8	protein-protein interactions	TRAPPC2		
TRAPPC8	protein-protein interactions	TRAPPC3L		
TRAPPC8	protein-protein interactions	TRAPPC5		
TRAPPC8	protein-protein interactions	TRAPPC8		
TRAPPC9	protein-protein interactions	TRAPPC10		
TRAPPC9	protein-protein interactions	TRAPPC12		
TRAPPC9	protein-protein interactions	TRAPPC2		
TRAPPC9	protein-protein interactions	TRAPPC3L		
TRAPPC9	protein-protein interactions	TRAPPC5		
TRAPPC9	protein-protein interactions	TRAPPC8		
TSPAN12	protein-protein interactions	TFCP2		
TSPAN12	protein-protein interactions	TSPAN12		
TSPAN31	expression	TSPAN31		
UBP1	protein-protein interactions	TFAP4		
UBP1	protein-protein interactions	TFCP2		
UBP1	protein-protein interactions	TFCP2L1		
UBP1	protein-protein interactions	UBP1		
VRTN	protein-protein interactions	SALL4		
WDR45	protein-protein interactions	TALDO1		
WDR45	protein-protein interactions	WDR45		
WIZ	protein-protein interactions	TFAP4		
WIZ	protein-protein interactions	TFCP2L1		
ZNF143	activation	TALDO1		
ZNF143	protein-DNA interactions	SNORD61		
ZNF143	protein-DNA interactions	TALDO1		
ZNF143	protein-protein interactions	RBM33		
ZNF143	protein-protein interactions	SALL4		
ZNF143	protein-protein interactions	TFCP2L1		
ZNF143	transcription	TALDO1		
ZNF281	protein-protein interactions	SALL4		
