From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
ACAP2	activation	ARF6		
ADAP1	activation	ARF6		
ADAP1	localization	ARF6		
ADAP1	regulation of binding	ARF6		
ARF6	protein-protein interactions	CDH15		
ARF6	regulation of binding	ARF6		
ARF6	regulation of binding	CDH15		
ARFGEF2	regulation of binding	ARF6		
ARL3	protein-protein interactions	AIF1		
ARL3	regulation of binding	CYS1		
ARMT1	protein-protein interactions	ARF6		
BSND	protein-protein interactions	ARL3		
C20orf194	protein-protein interactions	ARL3		
CDH15	protein-protein interactions	ARF6		
CDH15	protein-protein interactions	ARVCF		
CFAP36	protein-protein interactions	ARL3		
CHRM3	protein-protein interactions	ARF6		
CHRM3	protein-protein interactions	CHRM3		
CHRM3	regulation of binding	CHRM3		
DDOST	protein-protein interactions	ARF6		
DHPS	protein-protein interactions	ARF6		
DHPS	protein-protein interactions	DHPS		
EIF5A2	protein-protein interactions	DHPS		
EIF5A2	protein-protein interactions	DOHH		
ELMOD1	activation	ARF6		
ELMOD1	activation	ARL3		
ELMOD1	activation	ELMOD1		
ELMOD2	activation	ARF6		
ELMOD2	activation	ARL3		
ELMOD2	activation	ELMOD2		
ELMOD2	regulation of binding	ARF6		
ELMOD3	activation	ARL3		
ELSPBP1	expression	ADSS		
ELSPBP1	protein-protein interactions	ELSPBP1		
FBXO8	protein-protein interactions	ARF6		
FCGR1A/2A/3A	activation	ARF6		
FCGR1A/2A/3A	translocation	FCGR1A/2A/3A		
GOLGA4	protein-protein interactions	ARL3		
GSPT1	protein-protein interactions	ARF6		
HLA-B	protein-protein interactions	AASDHPPT		
HLA-B	protein-protein interactions	ADSS		
HLA-B	protein-protein interactions	ARF6		
HLA-B	protein-protein interactions	ARFGEF2		
HLA-B	protein-protein interactions	DDOST		
HLA-B	protein-protein interactions	FAM91A1		
HLA-B	protein-protein interactions	GSPT1		
HLA-B	protein-protein interactions	HEATR6		
HLA-B	protein-protein interactions	HLA-B		
HOXB5	protein-protein interactions	EFR3A		
HOXB5	protein-protein interactions	EFR3B		
HOXC4	protein-protein interactions	ELMOD2		
HOXC4	protein-protein interactions	HOXB5		
