From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
AMIGO2	activation	NFkB (complex)		
AMIGO2	protein-protein interactions	AMIGO2		
AMIGO3	protein-protein interactions	AMIGO2		
AMIGO3	protein-protein interactions	AMIGO3		
ANKRD42	activation	NFkB (complex)		
ARHGAP28	activation	NFkB (complex)		
Alox12/15	activation	NFkB (complex)		
B3GNT9	activation	NFkB (complex)		
BPI	activation	NFkB (complex)		
CACTIN	activation	NFkB (complex)		
CARD14	activation	NFkB (complex)		
CCDC22	localization	NFkB (complex)		
CCDC22	protein-protein interactions	C16orf62		
CCDC22	protein-protein interactions	CCDC151		
COMMD10	protein-protein interactions	CCDC22		
COMMD2	protein-protein interactions	CCDC151		
COMMD2	protein-protein interactions	CCDC22		
COMMD2	protein-protein interactions	COMMD10		
COMMD3	protein-protein interactions	C16orf62		
COMMD3	protein-protein interactions	CCDC151		
COMMD3	protein-protein interactions	CCDC22		
COMMD3	protein-protein interactions	COMMD10		
COMMD3	protein-protein interactions	COMMD2		
COMMD4	protein-protein interactions	C16orf62		
COMMD4	protein-protein interactions	CCDC151		
COMMD4	protein-protein interactions	CCDC22		
COMMD4	protein-protein interactions	COMMD10		
COMMD4	protein-protein interactions	COMMD2		
COMMD4	protein-protein interactions	COMMD3		
COMMD8	protein-protein interactions	CCDC151		
COMMD8	protein-protein interactions	CCDC22		
COMMD8	protein-protein interactions	COMMD10		
COMMD8	protein-protein interactions	COMMD2		
COMMD8	protein-protein interactions	COMMD3		
COMMD8	protein-protein interactions	COMMD4		
COMMD9	protein-protein interactions	CCDC22		
COMMD9	protein-protein interactions	COMMD10		
COMMD9	protein-protein interactions	COMMD2		
COMMD9	protein-protein interactions	COMMD3		
COMMD9	protein-protein interactions	COMMD4		
COMMD9	protein-protein interactions	COMMD8		
CPNE1	protein-protein interactions	CCDC22		
CPNE1	protein-protein interactions	CDC42BPB		
CPNE1	protein-protein interactions	CPNE1		
CPNE4	activation	NFkB (complex)		
CPNE4	protein-protein interactions	CCDC22		
CPNE4	protein-protein interactions	CDC42BPB		
CPNE4	protein-protein interactions	CPNE1		
DDRGK1	activation	NFkB (complex)		
FAIM	activation	NFkB (complex)		
FASTKD5	activation	NFkB (complex)		
GRAMD3	protein-protein interactions	ABO		
GRAMD3	protein-protein interactions	CASC4		
GRAMD3	protein-protein interactions	DDRGK1		
GRAMD3	protein-protein interactions	GIMAP5		
GRAMD3	protein-protein interactions	GRAMD3		
GRAMD4	activation	NFkB (complex)		
IQCF1	protein-protein interactions	DDRGK1		
IYD	protein-protein interactions	DDRGK1		
NFkB (complex)	activation	NFkB (complex)		
NFkB (complex)	expression	CDH22		
NFkB (complex)	expression	INSRR		
NFkB (complex)	protein-protein interactions	DEFB124		
NFkB (complex)	regulation of binding	NFkB (complex)		
NFkB (complex)	translocation	NFkB (complex)		
