From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
ADRA1A	expression	DDAH1		
ADRA1A	protein-protein interactions	ADRA1A		
ASH2L	localization	ASH2L		
ASH2L	protein-protein interactions	ASH2L		
CASKIN1	protein-protein interactions	CASKIN1		
CDC73	protein-protein interactions	ASH2L		
CDC73	protein-protein interactions	BCL9L		
CDC73	regulation of binding	CDC73		
COPS6	protein-protein interactions	ASH2L		
COPS6	protein-protein interactions	ATP9A		
COPS6	protein-protein interactions	BTBD2		
COPS6	protein-protein interactions	C4orf17		
COPS6	protein-protein interactions	CCDC106		
COPS6	protein-protein interactions	COPS6		
COPS6	protein-protein interactions	COPS7A		
COPS6	protein-protein interactions	GPS1		
COPS7A	protein-protein interactions	COPS6		
COPS7A	protein-protein interactions	GPS1		
CPSF1	protein-protein interactions	CDC73		
CPSF1	protein-protein interactions	COPS6		
CPSF3	protein-protein interactions	CDC73		
CPSF3	protein-protein interactions	CPSF1		
CSN2	protein-protein interactions	COPS7A		
CSN3	protein-protein interactions	CASKIN1		
CSN3	protein-protein interactions	COPS7A		
CSTF1	protein-protein interactions	CPSF3		
DCAF12L2	protein-protein interactions	COPS6		
DCAF4	protein-protein interactions	COPS6		
DCUN1D1	protein-protein interactions	C16orf89		
DCUN1D1	protein-protein interactions	COPS6		
DCUN1D1	protein-protein interactions	COPS7A		
DCUN1D1	protein-protein interactions	CYB5D1		
DDAH1	activation	DDAH1		
DDAH2	protein-protein interactions	CDC73		
DDAH2	protein-protein interactions	CLNS1A		
DDAH2	protein-protein interactions	DDAH1		
DDB1	protein-protein interactions	BTBD2		
DDB1	protein-protein interactions	COPS6		
DDB1	protein-protein interactions	COPS7A		
DDB1	protein-protein interactions	DCAF13		
DDB1	protein-protein interactions	DCAF4		
DDB1	protein-protein interactions	DCUN1D1		
DDB1	protein-protein interactions	DDB1		
DDB1	ubiquitination	DDB1		
DIS3L2	protein-protein interactions	COPS6		
FBXW9	protein-protein interactions	COPS6		
GPS1	protein-protein interactions	COPS6		
GPS1	protein-protein interactions	COPS7A		
GPS1	protein-protein interactions	CPSF1		
GPS1	protein-protein interactions	DCUN1D1		
GPS1	protein-protein interactions	DDB1		
HSF2BP	protein-protein interactions	CDC73		
HSF2BP	protein-protein interactions	HSF2BP		
Mg2+-ATPase	membership	ATP10D		
Mg2+-ATPase	membership	ATP8B1		
Mg2+-ATPase	membership	ATP8B2		
Mg2+-ATPase	membership	ATP9A		
Mg2+-ATPase	membership	ATP9B		
