© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
G-protein beta	activation	G-protein beta		
G-protein beta	protein-protein interactions	G-protein beta		
G-protein beta	regulation of binding	G-protein beta		
PLEKHB1	protein-protein interactions	PLEKHB1		
PNMA6A	protein-protein interactions	PNMA1		
PRPF31	protein-protein interactions	PNMA1		
PRPF31	protein-protein interactions	PRPF31		
PSTPIP1	protein-protein interactions	PCDHB14		
PSTPIP1	protein-protein interactions	PRPF31		
RBMY1A1 (includes others)	protein-protein interactions	PCDHB14		
RBMY1A1 (includes others)	protein-protein interactions	PRPF31		
RBMY1A1 (includes others)	protein-protein interactions	PRR3		
RBMY1A1 (includes others)	protein-protein interactions	RBM3		
RBMY1A1 (includes others)	protein-protein interactions	RBMY1A1 (includes others)		
RTP5	protein-protein interactions	PNMA1		
RTP5	protein-protein interactions	PSTPIP1		
SGK494	protein-protein interactions	PSTPIP1		
SH2D2A	protein-protein interactions	G-protein beta		
SH2D2A	protein-protein interactions	PLEKHB1		
SLC25A48	protein-protein interactions	PNMA1		
SMIM3	protein-protein interactions	PNMA1		
SPDL1	protein-protein interactions	RTP5		
SPDL1	protein-protein interactions	SPDL1		
SPDL1	regulation of binding	SPDL1		
SPTB	protein-protein interactions	SH2D2A		
TSPYL4	protein-protein interactions	PNMA1		
TULP3	protein-protein interactions	PSTPIP1		
TULP3	protein-protein interactions	RIOK3		
TULP3	protein-protein interactions	SPTB		
ZBTB43	protein-protein interactions	TCEB3B		
ZBTB43	protein-protein interactions	ZBTB43		
ZHX3	protein-protein interactions	SH2D2A		
ZHX3	protein-protein interactions	ZHX3		
ZNF165	protein-protein interactions	TCEB3B		
ZNF175	protein-protein interactions	PSTPIP1		
ZNF250	protein-protein interactions	PRPF31		
ZNF250	protein-protein interactions	ZNF165		
ZNF250	protein-protein interactions	ZNF175		
ZNF250	protein-protein interactions	ZNF250		
ZNF264	protein-protein interactions	ZNF175		
ZNF317	protein-protein interactions	RBMY1A1 (includes others)		
ZNF460	protein-protein interactions	ZNF250		
ZNF473	protein-protein interactions	ZNF12		
ZNF473	protein-protein interactions	ZNF250		
ZNF768	protein-protein interactions	ZNF473		
ZNF792	protein-protein interactions	ZNF473		
ZNF792	protein-protein interactions	ZNF792		
ZNF793	protein-protein interactions	TULP3		
ZNF835	protein-protein interactions	TULP3		
