© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
TIMM50	protein-protein interactions	TOMM7		
TIMM50	protein-protein interactions	VDAC2		
TIMM8A	protein-protein interactions	TIMM13		
TIMM8A	protein-protein interactions	TOMM34		
TIMM8A	protein-protein interactions	TOMM40		
TIMM8A	protein-protein interactions	TOMM7		
TIMM8A	protein-protein interactions	VDAC2		
TMEM65	protein-protein interactions	SFXN1		
TMEM65	protein-protein interactions	SFXN4		
TMEM65	protein-protein interactions	SLC25A24		
TMEM65	protein-protein interactions	TIMM50		
TOMM34	protein-protein interactions	PPID		
TOMM34	protein-protein interactions	TOMM40		
TOMM34	protein-protein interactions	TOMM7		
TOMM34	protein-protein interactions	VDAC2		
TOMM40	protein-protein interactions	TOMM7		
TOMM40	protein-protein interactions	VDAC2		
TOMM7	localization	TOMM40		
TOMM7	protein-protein interactions	TOMM40		
TOMM7	protein-protein interactions	VDAC2		
UBA5	protein-protein interactions	PECR		
UBA5	protein-protein interactions	SFXN1		
UBA5	protein-protein interactions	UBA5		
VDAC2	expression	VDAC2		
VDAC2	protein-protein interactions	SLC25A4		
WDR62	protein-protein interactions	UBA5		
WDR62	protein-protein interactions	WDR62		
ZNF106	protein-protein interactions	SHARPIN		
ZNF106	protein-protein interactions	WDR62		
