© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
PAM16	protein-protein interactions	PAM16		
PAM16	protein-protein interactions	PPID		
PAM16	protein-protein interactions	SLC25A4		
PAM16	protein-protein interactions	TIMM13		
PAM16	protein-protein interactions	TIMM17B		
PAM16	protein-protein interactions	TIMM22		
PAM16	protein-protein interactions	TIMM44		
PAM16	protein-protein interactions	TIMM50		
PAM16	protein-protein interactions	TIMM8A		
PAM16	protein-protein interactions	TOMM34		
PAM16	protein-protein interactions	TOMM40		
PAM16	protein-protein interactions	TOMM7		
PAM16	protein-protein interactions	VDAC2		
PEAK1	regulation of binding	SGK223		
PECR	protein-protein interactions	PECR		
POLE4	protein-protein interactions	POLE4		
POLE4	regulation of binding	POLE4		
PPID	protein-protein interactions	SLC25A4		
PPID	protein-protein interactions	TIMM13		
PPID	protein-protein interactions	TIMM17B		
PPID	protein-protein interactions	TIMM22		
PPID	protein-protein interactions	TIMM44		
PPID	protein-protein interactions	TIMM50		
PPID	protein-protein interactions	TIMM8A		
PPID	protein-protein interactions	TOMM34		
PPID	protein-protein interactions	TOMM40		
PPID	protein-protein interactions	TOMM7		
PPID	protein-protein interactions	VDAC2		
PRDM14	protein-DNA interactions	POLE4		
SFXN4	protein-protein interactions	SFXN1		
SHANK1	protein-protein interactions	SHANK1		
SHANK3	protein-protein interactions	SHANK1		
SHANK3	protein-protein interactions	SHANK3		
SHARPIN	protein-protein interactions	OTULIN		
SHARPIN	protein-protein interactions	SHANK1		
SHARPIN	protein-protein interactions	SHANK3		
SHARPIN	protein-protein interactions	SHARPIN		
SLC25A24	protein-protein interactions	SFXN1		
SLC25A24	protein-protein interactions	SFXN4		
SLC25A4	protein-protein interactions	PPID		
SLC25A4	protein-protein interactions	TIMM13		
SLC25A4	protein-protein interactions	TIMM17B		
SLC25A4	protein-protein interactions	TIMM22		
SLC25A4	protein-protein interactions	TIMM44		
SLC25A4	protein-protein interactions	TIMM50		
SLC25A4	protein-protein interactions	TIMM8A		
SLC25A4	protein-protein interactions	TOMM34		
SLC25A4	protein-protein interactions	TOMM40		
SLC25A4	protein-protein interactions	TOMM7		
SLC25A4	protein-protein interactions	VDAC2		
SRC (family)	activation	PEAK1		
SRC (family)	activation	SRC (family)		
SRC (family)	expression	PAX4		
SRC (family)	phosphorylation	PEAK1		
SRC (family)	phosphorylation	SRC (family)		
SRC (family)	protein-protein interactions	PEAK1		
SRC (family)	regulation of binding	SRC (family)		
SRCIN1	activation	SRC (family)		
SRCIN1	protein-protein interactions	SHANK3		
TEKT4	protein-protein interactions	PRDM14		
TEKT4	protein-protein interactions	SHARPIN		
TIMM13	protein-protein interactions	TIMM17B		
TIMM13	protein-protein interactions	TIMM22		
TIMM13	protein-protein interactions	TIMM44		
TIMM13	protein-protein interactions	TIMM50		
TIMM13	protein-protein interactions	TIMM8A		
TIMM13	protein-protein interactions	TOMM34		
TIMM13	protein-protein interactions	TOMM40		
TIMM13	protein-protein interactions	TOMM7		
TIMM13	protein-protein interactions	VDAC2		
TIMM17B	protein-protein interactions	PAM16		
TIMM17B	protein-protein interactions	TIMM22		
TIMM17B	protein-protein interactions	TIMM44		
TIMM17B	protein-protein interactions	TIMM50		
TIMM17B	protein-protein interactions	TIMM8A		
TIMM17B	protein-protein interactions	TOMM34		
TIMM17B	protein-protein interactions	TOMM40		
TIMM17B	protein-protein interactions	TOMM7		
TIMM17B	protein-protein interactions	VDAC2		
TIMM22	protein-protein interactions	TIMM44		
TIMM22	protein-protein interactions	TIMM50		
TIMM22	protein-protein interactions	TIMM8A		
TIMM22	protein-protein interactions	TOMM34		
TIMM22	protein-protein interactions	TOMM40		
TIMM22	protein-protein interactions	TOMM7		
TIMM22	protein-protein interactions	VDAC2		
TIMM23	protein-protein interactions	TIMM17B		
TIMM23	protein-protein interactions	TIMM21		
TIMM44	protein-protein interactions	TIMM50		
TIMM44	protein-protein interactions	TIMM8A		
TIMM44	protein-protein interactions	TOMM34		
TIMM44	protein-protein interactions	TOMM40		
TIMM44	protein-protein interactions	TOMM7		
TIMM44	protein-protein interactions	VDAC2		
TIMM50	protein-protein interactions	SFXN1		
TIMM50	protein-protein interactions	SFXN4		
TIMM50	protein-protein interactions	SLC25A24		
TIMM50	protein-protein interactions	TIMM17B		
TIMM50	protein-protein interactions	TIMM21		
TIMM50	protein-protein interactions	TIMM23		
TIMM50	protein-protein interactions	TIMM8A		
TIMM50	protein-protein interactions	TOMM34		
TIMM50	protein-protein interactions	TOMM40		
