From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
ALYREF	protein-protein interactions	ALYREF		
ARGLU1	protein-protein interactions	ARGLU1		
CASC3	protein-protein interactions	ALYREF		
CASC3	protein-protein interactions	EIF4A3		
CEP250	protein-protein interactions	ALYREF		
CEP70	localization	CEP70		
CEP70	protein-protein interactions	CEP70		
CUL7	protein-protein interactions	ALYREF		
CUL7	protein-protein interactions	ARGLU1		
CUL7	protein-protein interactions	CEP250		
CUL7	protein-protein interactions	CUL7		
CUL7	regulation of binding	CUL7		
DAP3	protein-protein interactions	CEP250		
DAP3	protein-protein interactions	DAP3		
DDX41	protein-protein interactions	CEP250		
DDX41	protein-protein interactions	CEP70		
DDX41	protein-protein interactions	DDX41		
DDX50	protein-protein interactions	CUL7		
DOCK4	protein-protein interactions	ELMO		
DOCK4	protein-protein interactions	ELMO2		
DPPA2	protein-protein interactions	DPPA2		
DPPA4	protein-protein interactions	DPPA2		
EIF4A2	protein-protein interactions	ALYREF		
EIF4A2	protein-protein interactions	CASC3		
EIF4A2	protein-protein interactions	CCDC9		
EIF4A2	protein-protein interactions	CWC15		
EIF4A2	protein-protein interactions	DPPA4		
EIF4A2	protein-protein interactions	EIF4A2		
EIF4A3	protein-protein interactions	ALYREF		
EIF4A3	protein-protein interactions	BOLA2/BOLA2B		
EIF4A3	protein-protein interactions	CASC3		
EIF4A3	protein-protein interactions	CCDC174		
EIF4A3	protein-protein interactions	CCDC9		
EIF4A3	protein-protein interactions	CUL7		
EIF4A3	protein-protein interactions	CWC15		
EIF4A3	protein-protein interactions	DOCK4		
EIF4A3	protein-protein interactions	EIF4A3		
ELMO	membership	ELMO2		
ELMO	membership	ELMO3		
ELMO	protein-protein interactions	DOCK4		
ELMO2	protein-protein interactions	DOCK4		
ELMO2	protein-protein interactions	ELMO3		
FBL	protein-protein interactions	ALYREF		
FBL	protein-protein interactions	CEP250		
FBL	protein-protein interactions	CUL7		
FBL	protein-protein interactions	DDX50		
FBL	protein-protein interactions	EIF4A3		
GNL2	protein-protein interactions	CUL7		
GNL2	protein-protein interactions	FBL		
GXYLT2	protein-protein interactions	FBL		
HAUS1	protein-protein interactions	CAGE1		
HAUS1	protein-protein interactions	CEP250		
HAUS1	protein-protein interactions	CEP70		
HAUS1	protein-protein interactions	EIF4A3		
HAUS1	protein-protein interactions	GNB2		
HAUS1	protein-protein interactions	HAUS1		
HECTD1	protein-protein interactions	GEM		
HIST1H4J	protein-protein interactions	CUL7		
HIST2H3D	protein-protein interactions	CUL7		
HMGB4	protein-protein interactions	CEP70		
HNRNPA0	protein-protein interactions	ALYREF		
HNRNPA0	protein-protein interactions	CUL7		
HNRNPA0	protein-protein interactions	FBL		
HNRNPA3	protein-protein interactions	CUL7		
HNRNPA3	protein-protein interactions	FBL		
HP1BP3	protein-protein interactions	CEP250		
HP1BP3	protein-protein interactions	CUL7		
HP1BP3	protein-protein interactions	HECTD1		
