© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
PRR11	protein-protein interactions	PAK1IP1		
PTGER3	protein-protein interactions	PHLDB3		
PTGER3	protein-protein interactions	PLEKHH3		
PTGER3	protein-protein interactions	PNN		
REXO4	protein-protein interactions	PRR11		
RNPS1	protein-protein interactions	PNN		
RNPS1	protein-protein interactions	PTGER3		
RPF2	protein-protein interactions	PRR11		
RPL14	protein-protein interactions	PAK1IP1		
RPL14	protein-protein interactions	REXO4		
RPL14	protein-protein interactions	RPF1		
RPL14	protein-protein interactions	RPF2		
RRP8	protein-protein interactions	PRR11		
RRP8	protein-protein interactions	RPL14		
SRRM1	protein-protein interactions	PNN		
SRRM1	protein-protein interactions	RNPS1		
SRRM1	protein-protein interactions	RPL14		
TADA2A	protein-protein interactions	RNPS1		
TADA2A	protein-protein interactions	SRRM1		
TADA2A	protein-protein interactions	TADA2A		
THRAP3	protein-protein interactions	PNN		
THRAP3	protein-protein interactions	RNPS1		
THRAP3	protein-protein interactions	SRRM1		
TIMMDC1	protein-protein interactions	PDSS1		
TIMMDC1	protein-protein interactions	PNN		
TMEM94	protein-protein interactions	PTGER3		
TRA2A	protein-protein interactions	PABPC4L		
TRA2A	protein-protein interactions	PNN		
TRA2A	protein-protein interactions	RRP9		
TRA2A	protein-protein interactions	SRRM1		
TRA2A	protein-protein interactions	TADA2A		
TRA2A	protein-protein interactions	THRAP3		
TRA2A	protein-protein interactions	TRA2A		
TRUB2	protein-protein interactions	TRA2A		
TTC9C	protein-protein interactions	TADA2A		
UPF1	activation	UPF1		
UPF1	protein-protein interactions	PRR11		
UPF1	protein-protein interactions	RNPS1		
UPF1	protein-protein interactions	SRRM1		
UPF1	protein-protein interactions	TRA2A		
UPF1	protein-protein interactions	UPF1		
YARS2	protein-protein interactions	TRUB2		
ZC3H3	protein-protein interactions	PABPC3		
ZC3H3	protein-protein interactions	PAK1IP1		
ZC3H3	protein-protein interactions	REXO4		
ZC3H3	protein-protein interactions	RPF1		
ZC3H3	protein-protein interactions	RPF2		
ZC3H3	protein-protein interactions	TRUB2		
ZC3H3	protein-protein interactions	UPF1		
ZC3H3	protein-protein interactions	YARS2		
ZC3H8	protein-protein interactions	ZC3H3		
ZFP62	protein-protein interactions	RPL14		
ZFR	protein-protein interactions	RNPS1		
ZFR	protein-protein interactions	TRA2A		
ZNF22	protein-protein interactions	PRR11		
ZNF22	protein-protein interactions	RPL14		
ZNF22	protein-protein interactions	SRRM1		
ZNF22	protein-protein interactions	TRA2A		
ZNF629	protein-protein interactions	RPL14		
ZNF70	protein-protein interactions	ZC3H3		
ZNF770	protein-protein interactions	RPL14		
ZNF808	protein-protein interactions	ZNF22		
