From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
ANGPTL7	protein-protein interactions	ANGPTL7		
BBOX1	protein-protein interactions	BBOX1		
BHLHA15	activation	CPA1		
BHLHA15	expression	ITPR3		
BHLHA15	protein-DNA interactions	FNDC3A		
BHLHA15	protein-protein interactions	BHLHA15		
BHLHA15	transcription	FNDC3A		
CCS	expression	CCS		
CCS	expression	Vegf		
CCS	protein-protein interactions	CCS		
EMC2	protein-protein interactions	EMC10		
EMC3	protein-protein interactions	EMC10		
EMC3	protein-protein interactions	EMC2		
EMC4	protein-protein interactions	EMC2		
EMC4	protein-protein interactions	EMC3		
EMC7	protein-protein interactions	CD164L2		
EMC7	protein-protein interactions	CLPTM1L		
EMC7	protein-protein interactions	EMC10		
EMC7	protein-protein interactions	EMC2		
EMC7	protein-protein interactions	EMC3		
EMC7	protein-protein interactions	EMC4		
EMC8	protein-protein interactions	EMC10		
EMC8	protein-protein interactions	EMC2		
EMC8	protein-protein interactions	EMC3		
EMC8	protein-protein interactions	EMC4		
EMC8	protein-protein interactions	EMC7		
EMC9	protein-protein interactions	EMC2		
EMC9	protein-protein interactions	EMC3		
EMC9	protein-protein interactions	EMC7		
EPM2AIP1	protein-protein interactions	EMP2		
EPM2AIP1	protein-protein interactions	EPM2AIP1		
FAM186B	protein-protein interactions	EMC8		
FOXN2	protein-protein interactions	FOXN2		
ITPR3	protein-protein interactions	BBOX1		
KCNK16	protein-protein interactions	EMC10		
KCNK16	protein-protein interactions	EMC8		
KCNK16	protein-protein interactions	FNDC3A		
Vegf	expression	AGFG2		
Vegf	expression	ANGPTL7		
Vegf	expression	ARHGAP18		
Vegf	expression	ARHGAP23		
Vegf	expression	BTBD3		
Vegf	expression	BTN1A1		
Vegf	expression	C6orf58		
Vegf	expression	CPA3		
Vegf	expression	CYYR1		
Vegf	expression	DCBLD2		
Vegf	expression	EMP2		
Vegf	expression	FAIM2		
Vegf	expression	FAM198B		
Vegf	expression	FNDC3A		
Vegf	expression	FOXN2		
Vegf	expression	IL17RC		
Vegf	expression	ITPR3		
Vegf	expression	Vegf		
Vegf	molecular cleavage	Presenilin		
Vegf	regulation of binding	Vegf		
Vegf	translocation	Vegf		
