© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
NuRD	membership	Mi2		
NuRD	protein-protein interactions	Mi2		
PCGF1	protein-protein interactions	PCGF1		
PCGF1	protein-protein interactions	PCGF2		
PCGF1	protein-protein interactions	RING1		
PCGF2	protein-protein interactions	PCGF1		
PCGF2	protein-protein interactions	PCGF2		
PCGF2	protein-protein interactions	RING1		
PHC2	protein-protein interactions	PCGF2		
PHC2	protein-protein interactions	PCGF3		
PHC2	protein-protein interactions	PHC2		
PHC2	protein-protein interactions	RING1		
PNMA5	protein-protein interactions	PNMA5		
PTGER2	expression	SPAG5		
PTGER2	expression	TBL3		
RING1	protein-protein interactions	PCGF1		
RING1	protein-protein interactions	PCGF2		
RING1	protein-protein interactions	PCGF3		
RING1	protein-protein interactions	PHC2		
RING1	protein-protein interactions	RING1		
SPAG5	protein-protein interactions	SPAG5		
SPIN4	protein-protein interactions	SPIN1		
SREK1	protein-protein interactions	SREK1		
SREK1IP1	protein-protein interactions	SREK1		
STAC3	protein-protein interactions	SREK1IP1		
STAC3	protein-protein interactions	STAC3		
TACC3	protein-protein interactions	TACC3		
TARBP1	protein-protein interactions	SREK1		
TBC1D22B	protein-protein interactions	PNMA5		
TBC1D22B	protein-protein interactions	TACC3		
TMEM70	protein-protein interactions	PHC2		
TUBGCP6	protein-protein interactions	TACC3		
WDR54	protein-protein interactions	STAC3		
WRAP73	protein-protein interactions	RBM12		
WRAP73	protein-protein interactions	RD3L		
WRAP73	protein-protein interactions	RTFDC1		
WRAP73	protein-protein interactions	SLC25A22		
WRAP73	protein-protein interactions	SPICE1		
WRAP73	protein-protein interactions	SREK1		
WRAP73	protein-protein interactions	SREK1IP1		
WRAP73	protein-protein interactions	SSR3		
WRAP73	protein-protein interactions	WRAP73		
YAF2	protein-protein interactions	PCGF1		
YAF2	protein-protein interactions	PCGF2		
YAF2	protein-protein interactions	PCGF3		
YAF2	protein-protein interactions	PHC2		
YAF2	protein-protein interactions	RING1		
ZFPM1	protein-protein interactions	NuRD		
ZFPM1	protein-protein interactions	TACC3		
ZFPM1	transcription	TFR2		
ZFYVE26	protein-protein interactions	PNMA5		
ZFYVE26	protein-protein interactions	SPAG5		
ZGPAT	protein-protein interactions	Mi2		
ZGPAT	protein-protein interactions	PHC2		
ZGPAT	protein-protein interactions	SPAG5		
ZGPAT	protein-protein interactions	SPIN1		
ZGPAT	protein-protein interactions	STAC3		
ZGPAT	regulation of binding	Mi2		
ZGPAT	regulation of binding	ZGPAT		
ZMAT2	protein-protein interactions	PHC2		
ZMAT2	protein-protein interactions	SPAG5		
ZMAT2	protein-protein interactions	SREK1		
ZMAT2	protein-protein interactions	SREK1IP1		
ZMAT2	protein-protein interactions	WRAP73		
